,Sum of scores,Mean of scores
gustyLeft4to5,21019,840
gustySides3to4,20634,825
gustyLeft3to4,20392,815
sides3to4,20299,811
sides2to3,20266,810
gustySides2to3,19984,799
sides4to5,19842,793
gustyLeft2to3,19744,789
sides1to2,19715,788
gustySides4to5,19241,769
gustySides1to2,19121,764
gustyRight4to5,18356,734
gustyRight2to3,17741,709
gustyLeft1to2,16940,677
gustyRight3to4,16459,658
gustyRight1to2,13939,557
noWind,11555,462
left1to2,8935,357
right1to2,8881,355
right4to5,7730,309
left2to3,6590,263
right2to3,5425,217
right3to4,5225,209
left3to4,3842,153
left4to5,-521,-20
