,0
gustySides4to5,19241.670000000002
gustySides3to4,20634.97
gustySides2to3,19984.109999999997
gustySides1to2,19121.62
sides4to5,19842.790000000005
sides3to4,20299.979999999996
sides2to3,20266.600000000002
sides1to2,19715.59
gustyRight4to5,18356.250000000007
gustyRight3to4,16459.09
gustyRight2to3,17741.4
gustyRight1to2,13939.609999999999
right4to5,7730.63
right3to4,5225.08
right2to3,5425.679999999999
right1to2,8881.779999999999
gustyLeft4to5,21019.79
gustyLeft3to4,20392.39
gustyLeft2to3,19744.520000000004
gustyLeft1to2,16940.589999999997
left4to5,-521.7399999999998
left3to4,3842.6200000000003
left2to3,6590.05
left1to2,8935.1
noWind,11555.330000000005
